PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
short,c9d7855d94dfdbe6fe9bb81b5894293946519d4d0f8f3ba4fd59b647ae13a5b6,2,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
long,c9d7855d94dfdbe6fe9bb81b5894293946519d4d0f8f3ba4fd59b647ae13a5b6,10,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,LOW
other,c9d7855d94dfdbe6fe9bb81b5894293946519d4d0f8f3ba4fd59b647ae13a5b6,11,None,Replace any remaining fluorescent lighting with LEDs.,LOW
other,c9d7855d94dfdbe6fe9bb81b5894293946519d4d0f8f3ba4fd59b647ae13a5b6,12,None,"Install automated lighting controls in classrooms, offices and all low traffic areas",MEDIUM
other,c9d7855d94dfdbe6fe9bb81b5894293946519d4d0f8f3ba4fd59b647ae13a5b6,13,None,Ensure that the heating is reduced appropriately in any areas which are not being utilised.,MEDIUM
other,c9d7855d94dfdbe6fe9bb81b5894293946519d4d0f8f3ba4fd59b647ae13a5b6,14,None,"Where possible, insulate hot water pipes between the hot water system and outlet taps (dead legs.)",LOW
other,c9d7855d94dfdbe6fe9bb81b5894293946519d4d0f8f3ba4fd59b647ae13a5b6,15,None,Consider installing an ambitious Solar PV and Solar Thermal system on the roof and examine if there are areas elsewhere on the site for installing ground based systems. The ultimate objective should be to maximise the generation potential of the whole site.,HIGH
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,3,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,4,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,5,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,6,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,7,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,8,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,9,X29,Consider with chefs and kitchen managers how a training programme and monitoring systems with incentives could be implemented.,LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,10,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,11,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",LOW
short,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,12,CA24,Consider installing heat recovery to catering refrigeration condensers in order to aid with HWS generation or to heat room air.,LOW
medium,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,13,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
medium,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,14,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
long,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,15,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,MEDIUM
long,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,16,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
long,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,17,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
long,b7256f7f6724cc442b56e59f91867cdd1af189acd9e0b5115f0cf421f6698a0f,18,AE4,Consider installing building mounted photovoltaic electricity generating panels.,LOW
short,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,1,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
short,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,2,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
short,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,3,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,LOW
short,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,4,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
short,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,5,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
short,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,6,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),LOW
medium,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,7,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
long,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,8,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,HIGH
long,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,9,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,LOW
other,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,10,None,Replace any remaining fluorescent lighting with LEDs.,LOW
other,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,11,None,"Install automated lighting controls in offices, changing rooms and all low traffic areas",MEDIUM
other,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,12,None,Ensure that the heating is reduced appropriately in any areas which are not being utilised.,MEDIUM
other,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,13,None,"Where possible, insulate hot water pipes between the hot water system and outlet taps (dead legs.)",LOW
other,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,14,None,Consider installing a more ambitious Solar PV array and a Solar Thermal system on the roof and examine if there are areas elsewhere on the site for installing ground based systems. The ultimate objective should be to maximise the generation potential of the whole site.,HIGH
other,b9869ae8c6cb21ca50f5284c49624245fe4250a017170da60fc5802d25992a5b,15,None,"Ensure that the existing solar PV panels on the roof are cleaned regularly, ie at least once a year.",LOW
long,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,13,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
short,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,1,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,LOW
short,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,5,BF1,Consider introducing or improving loft insulation.,MEDIUM
short,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,6,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
medium,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,7,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
medium,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,8,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance. This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
long,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,9,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,LOW
long,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,10,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building. It is recommended that meters be installed and a regime of recording data be put in place. CIBSE TM 39 gives guidance on this.,LOW
long,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,11,AE6,Consider installing a ground source heat pump.,HIGH
long,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,12,AE3,Consider installing building mounted solar water heating.,LOW
short,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,2,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,LOW
short,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,3,OM15,"It is recommended that energy management techniques are introduced. These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",LOW
short,659d33d12de86b723f456d42af6bf4826f8487329a04433dcad4885c073b86ed,4,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,1,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",MEDIUM
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,2,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,4,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,5,HW3,Engage experts to survey the condition of the HWS systems and propose remedial and upgrading works to improve condition and operating efficiency.,MEDIUM
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,6,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,7,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,8,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
short,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,9,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,LOW
medium,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,10,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance. This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
medium,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,11,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out. ,MEDIUM
long,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,12,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building. It is recommended that meters be installed and a regime of recording data be put in place. CIBSE TM 39 gives guidance on this.,MEDIUM
long,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,13,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
long,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,14,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
other,45482651fcf40da596c6ff3411990c3556b1825dc7bb4b417771666da4d349c4,15,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,MEDIUM
short,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,1,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
short,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,5,OM15,"It is recommended that energy management techniques are introduced. These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
short,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,6,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
medium,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,7,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
short,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,2,X6,"Ensure natural ventilation flow is operating as designed, i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",LOW
short,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,3,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
short,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,4,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
long,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,8,AE3,Consider installing building mounted solar water heating.,MEDIUM
long,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,9,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
long,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,10,AE6,Consider installing a ground source heat pump.,HIGH
other,7a94208096b71a6b7c554b5eddaa585f06c5e1a14396f1d1c45ca9d50777ae8e,11,None,Continue to upgrade the last few remaining lights to more energy efficient LED Lighting.,HIGH
short,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
short,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,2,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,LOW
short,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,3,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
short,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,4,BF1,Consider introducing or improving loft insulation.,MEDIUM
short,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,5,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
short,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,6,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
medium,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,7,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
medium,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,8,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out. ,MEDIUM
medium,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,9,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
long,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,10,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
long,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,11,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",HIGH
other,528b3a68f63141a5a228444fb81ca0c988cfd1e0f2f7c7590306ddd64a7de7df,12,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,HIGH
short,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,1,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
short,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,2,HW3,Engage experts to survey the condition of the HWS systems and propose remedial and upgrading works to improve condition and operating efficiency.,MEDIUM
short,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,3,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
short,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,4,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
short,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,5,BF7,"Consider adjusting existing, or installing new, automatic external door closers, or consider adopting revolving door solutions.",MEDIUM
short,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,6,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
medium,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,7,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out. ,MEDIUM
medium,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,8,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
long,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,9,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
long,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,10,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building. It is recommended that meters be installed and a regime of recording data be put in place. CIBSE TM 39 gives guidance on this.,MEDIUM
other,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,11,None,"The roof mounted solar PV panels are installed in a flat position and are dirty. Solar panels should be installed perpendiclar to the sun for optimum performance. Review the installation with experts, and implement a cleaning regime.",MEDIUM
other,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,12,None,Fit insulation to large DHW cylinder flange to improve operating efficiency and reduce energy losses. ,MEDIUM
other,8c753cdbce8ef74c190d7c46201491667310f198f9724a992fe06a298eea1bea,13,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,HIGH
long,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,12,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,MEDIUM
long,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,13,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
long,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,14,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
short,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,1,HS17,If stratification occurs consider re-circulating the air during heating.,MEDIUM
short,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,2,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
short,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
short,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,4,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
short,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,5,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,MEDIUM
short,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,6,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",MEDIUM
short,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,7,BF7,"Consider adjusting existing, or installing new, automatic external door closers, or consider adopting revolving door solutions.",MEDIUM
short,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,8,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
medium,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,9,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
medium,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,10,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out. ,MEDIUM
long,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,11,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
long,5f1b21e3a2af1d220f9e241e3bf5c0655fbbeb9212489b94d38b4ee872f283c6,15,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building. It is recommended that meters be installed and a regime of recording data be put in place. CIBSE TM 39 gives guidance on this.,MEDIUM
short,f93147f353ad8e36c0a307a198ea6f2f9c1eae3f124ff3c9287e1c853c914421,2,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
short,f93147f353ad8e36c0a307a198ea6f2f9c1eae3f124ff3c9287e1c853c914421,1,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
short,f93147f353ad8e36c0a307a198ea6f2f9c1eae3f124ff3c9287e1c853c914421,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
short,f93147f353ad8e36c0a307a198ea6f2f9c1eae3f124ff3c9287e1c853c914421,4,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
short,f93147f353ad8e36c0a307a198ea6f2f9c1eae3f124ff3c9287e1c853c914421,5,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
medium,f93147f353ad8e36c0a307a198ea6f2f9c1eae3f124ff3c9287e1c853c914421,6,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out. ,MEDIUM
long,f93147f353ad8e36c0a307a198ea6f2f9c1eae3f124ff3c9287e1c853c914421,7,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
other,f93147f353ad8e36c0a307a198ea6f2f9c1eae3f124ff3c9287e1c853c914421,8,None,Implement monitoring and targeting (M&T) using sub-metered data at building level to identify poor performance and reduce energy use.,MEDIUM
long,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,13,BF3,Consider replacing or improving glazing.,MEDIUM
long,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,14,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,1,HS3,Consider replacing heating boiler plant with high-efficiency type.,MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,2,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,3,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,4,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,5,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,6,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,7,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,8,HS10,Engage experts to survey the condition of the heating systems and propose remedial works.,MEDIUM
short,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,9,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
medium,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,10,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
medium,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,11,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
medium,96c51744677b04fdd1befa27981c7476ebf0cadabb07a6240db393b9960e7cc0,12,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance. This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
